% Model,SOFC - BV-MS Simulation 3.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 1 2024, 02:18"
% Table,Probe Table - Average Power - 
% V_cell (V),Power (W/cm^2)
0.05,0.09000681595689035
0.15000000000000002,0.24127625905497696
0.25,0.35437937245604495
0.35000000000000003,0.43031009655733327
0.45,0.4698014720507924
0.55,0.47664863681812253
0.6500000000000001,0.4507733498194348
0.7500000000000001,0.3961530502019171
0.8500000000000001,0.31709546963980634
0.9500000000000001,0.21986436709718374
1.05,0.12108549049911128
1.1500000000000001,0.04446067946864817
