% Model,i0ref search.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 2 2024, 17:00"
% Table,Probe Table - Average Power - 
% V_cell (V),i0ref_f (A/cm^2),i0ref_a (A/cm^2),Power (W/cm^2)
0.05,0.2,8,0.10494028176150483
0.15000000000000002,0.2,8,0.28258337759525
0.25,0.2,8,0.4165518425593306
0.35000000000000003,0.2,8,0.5074301287672741
0.45,0.2,8,0.5566228999174914
0.55,0.2,8,0.5657187950190581
0.6500000000000001,0.2,8,0.5361701121928336
0.7500000000000001,0.2,8,0.47245127528141484
0.8500000000000001,0.2,8,0.3726046728613791
0.9500000000000001,0.2,8,0.25685176920799735
1.05,0.2,8,0.1383860789532526
1.1500000000000001,0.2,8,0.048519005294942144
0.05,0.2,10,0.10483626108027304
0.15000000000000002,0.2,10,0.2828138478783203
0.25,0.2,10,0.41665740742876956
0.35000000000000003,0.2,10,0.5075283359821697
0.45,0.2,10,0.5567112862805402
0.55,0.2,10,0.5657774392329432
0.6500000000000001,0.2,10,0.536180970517438
0.7500000000000001,0.2,10,0.4724045990461904
0.8500000000000001,0.2,10,0.3722682113151014
0.9500000000000001,0.2,10,0.25665107823797584
1.05,0.2,10,0.13841746248539222
1.1500000000000001,0.2,10,0.04869958217487805
0.05,0.2,12,0.1048324282709168
0.15000000000000002,0.2,12,0.282842723320226
0.25,0.2,12,0.41671048679764316
0.35000000000000003,0.2,12,0.5075865592147406
0.45,0.2,12,0.5567575543799455
0.55,0.2,12,0.5657957180265758
0.6500000000000001,0.2,12,0.5361578265424157
0.7500000000000001,0.2,12,0.47178716093277184
0.8500000000000001,0.2,12,0.3721358090370377
0.9500000000000001,0.2,12,0.25646133492400175
1.05,0.2,12,0.1384262682400547
1.1500000000000001,0.2,12,0.04880442815661829
0.05,0.4,8,0.10864671746777943
0.15000000000000002,0.4,8,0.2958972661008322
0.25,0.4,8,0.43695907438045883
0.35000000000000003,0.4,8,0.5342612912455182
0.45,0.4,8,0.5887222439208836
0.55,0.4,8,0.6008922803153073
0.6500000000000001,0.4,8,0.5731454538889214
0.7500000000000001,0.4,8,0.5076460810402771
0.8500000000000001,0.4,8,0.40970087267260397
0.9500000000000001,0.4,8,0.2771260258515963
1.05,0.4,8,0.14720644866938595
1.1500000000000001,0.4,8,0.04943850649592972
0.05,0.4,10,0.10880307886991478
0.15000000000000002,0.4,10,0.2958158428488951
0.25,0.4,10,0.43703432519862984
0.35000000000000003,0.4,10,0.5343815489205758
0.45,0.4,10,0.5888395628687744
0.55,0.4,10,0.6009791812083122
0.6500000000000001,0.4,10,0.5731849890317118
0.7500000000000001,0.4,10,0.5076304638300428
0.8500000000000001,0.4,10,0.40963292389613365
0.9500000000000001,0.4,10,0.2765935978690327
1.05,0.4,10,0.14730399513163556
1.1500000000000001,0.4,10,0.04968828644068568
0.05,0.4,12,0.1088622961052249
0.15000000000000002,0.4,12,0.29590220130841416
0.25,0.4,12,0.4371151568627044
0.35000000000000003,0.4,12,0.5344614994047192
0.45,0.4,12,0.5889051391257087
0.55,0.4,12,0.601014335767289
0.6500000000000001,0.4,12,0.5731779601342923
0.7500000000000001,0.4,12,0.5075759313884991
0.8500000000000001,0.4,12,0.4095347245534044
0.9500000000000001,0.4,12,0.2760870475370283
1.05,0.4,12,0.14736622582098352
1.1500000000000001,0.4,12,0.049979331787660314
0.05,0.6,8,0.11034746336269408
0.15000000000000002,0.6,8,0.302516318605526
0.25,0.6,8,0.4477584508774708
0.35000000000000003,0.6,8,0.5480959429161535
0.45,0.6,8,0.6053644813785554
0.55,0.6,8,0.6190242522106532
0.6500000000000001,0.6,8,0.5925446408785163
0.7500000000000001,0.6,8,0.5274743060186545
0.8500000000000001,0.6,8,0.42792032137954067
0.9500000000000001,0.6,8,0.29925697686401403
1.05,0.6,8,0.15111615993535846
1.1500000000000001,0.6,8,0.04945906305319297
0.05,0.6,10,0.11054000187964691
0.15000000000000002,0.6,10,0.3025422891400051
0.25,0.6,10,0.447867250117757
0.35000000000000003,0.6,10,0.5482351174051773
0.45,0.6,10,0.6054973771321831
0.55,0.6,10,0.6191263045429307
0.6500000000000001,0.6,10,0.5926021361889372
0.7500000000000001,0.6,10,0.527481106422912
0.8500000000000001,0.6,10,0.42787853288170474
0.9500000000000001,0.6,10,0.29679659150690996
1.05,0.6,10,0.15120520638389687
1.1500000000000001,0.6,10,0.049458457144489085
0.05,0.6,12,0.11063705960640226
0.15000000000000002,0.6,12,0.3027017790601035
0.25,0.6,12,0.4479826277454055
0.35000000000000003,0.6,12,0.5483314675303986
0.45,0.6,12,0.6055731962909446
0.55,0.6,12,0.6191698963948173
0.6500000000000001,0.6,12,0.5926051744029575
0.7500000000000001,0.6,12,0.5274403175801382
0.8500000000000001,0.6,12,0.42779795585909847
0.9500000000000001,0.6,12,0.2869009878600889
1.05,0.6,12,0.1512839378359364
1.1500000000000001,0.6,12,0.04949307742571344
0.05,0.8,8,0.11134977732820699
0.15000000000000002,0.8,8,0.3071015602480465
0.25,0.8,8,0.45468458678590723
0.35000000000000003,0.8,8,0.5578549014315074
0.45,0.8,8,0.6167156717422312
0.55,0.8,8,0.6319373624353969
0.6500000000000001,0.8,8,0.6066526983155481
0.7500000000000001,0.8,8,0.5414005100317557
0.8500000000000001,0.8,8,0.44148260330403705
0.9500000000000001,0.8,8,0.3125307439029041
1.05,0.8,8,0.153379094114483
1.1500000000000001,0.8,8,0.04939044110032064
0.05,0.8,10,0.11152660468767825
0.15000000000000002,0.8,10,0.30716811250580695
0.25,0.8,10,0.45481229266111023
0.35000000000000003,0.8,10,0.5580051531288039
0.45,0.8,10,0.6168573570968355
0.55,0.8,10,0.6320490933886614
0.6500000000000001,0.8,10,0.6067226052274843
0.7500000000000001,0.8,10,0.541422959879334
0.8500000000000001,0.8,10,0.4414590710393147
0.9500000000000001,0.8,10,0.310523575657392
1.05,0.8,10,0.15342569349881463
1.1500000000000001,0.8,10,0.049389815456213015
0.05,0.8,12,0.11163160981428874
0.15000000000000002,0.8,12,0.30708587291065986
0.25,0.8,12,0.4548462247819619
0.35000000000000003,0.8,12,0.5580817136297466
0.45,0.8,12,0.6169318241205194
0.55,0.8,12,0.632097331062399
0.6500000000000001,0.8,12,0.6067335316485732
0.7500000000000001,0.8,12,0.5413930036533714
0.8500000000000001,0.8,12,0.441392144268826
0.9500000000000001,0.8,12,0.30822855413087713
1.05,0.8,12,0.15348551435717586
1.1500000000000001,0.8,12,0.04935389806485091
