% Model,SOFC - BV-Fick.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 5 2024, 17:06"
% Table,Probe Table - Average Current Density - 
% V_cell (V),sigma_io (S/cm),"Average cell current density (A/cm^2), Domain Probe - Average Current Density"
0.05,0.001,1.984279313252813
0.15000000000000002,0.001,1.7507497779995793
0.25,0.001,1.5266040969151229
0.35000000000000003,0.001,1.3136904868311825
0.45,0.001,1.1118116518001266
0.55,0.001,0.9209753153065651
0.6500000000000001,0.001,0.7434419710516278
0.7500000000000001,0.001,0.5804854801713987
0.8500000000000001,0.001,0.4344685915736645
0.9500000000000001,0.001,0.3082250223105143
1.05,0.001,0.20435007043783546
1.1500000000000001,0.001,0.12350096454705245
0.05,0.005,2.0487711372331097
0.15000000000000002,0.005,1.845928142595327
0.25,0.005,1.6449476457452152
0.35000000000000003,0.005,1.4489981008056496
0.45,0.005,1.2585093566640781
0.55,0.005,1.0744074551467218
0.6500000000000001,0.005,0.8979015299524264
0.7500000000000001,0.005,0.7300546877141277
0.8500000000000001,0.005,0.5736180583136326
0.9500000000000001,0.005,0.4305187221454835
1.05,0.005,0.3034864175770027
1.1500000000000001,0.005,0.19541168528022917
0.05,0.01,2.134125933868813
0.15000000000000002,0.01,1.9323595291471236
0.25,0.01,1.732390339498892
0.35000000000000003,0.01,1.5357126401630317
0.45,0.01,1.3439886776756522
0.55,0.01,1.1576235180531305
0.6500000000000001,0.01,0.9775966364127502
0.7500000000000001,0.01,0.8051723073581533
0.8500000000000001,0.01,0.6416231870378797
0.9500000000000001,0.01,0.48970110179977255
1.05,0.01,0.3515666996025856
1.1500000000000001,0.01,0.23104221531231064
0.05,0.05,2.361328796760523
0.15000000000000002,0.05,2.154333705604745
0.25,0.05,1.9488224136513603
0.35000000000000003,0.05,1.7455402357253211
0.45,0.05,1.5454723564977626
0.55,0.05,1.3488669688326107
0.6500000000000001,0.05,1.156351045121184
0.7500000000000001,0.05,0.9687650015097943
0.8500000000000001,0.05,0.7872597656888084
0.9500000000000001,0.05,0.613314591042682
1.05,0.05,0.44971689616935867
1.1500000000000001,0.05,0.30057963850128155
0.05,0.1,2.448003194487793
0.15000000000000002,0.1,2.2373474220461302
0.25,0.1,2.0278546316784594
0.35000000000000003,0.1,1.820177224283349
0.45,0.1,1.615157575884571
0.55,0.1,1.413020373069716
0.6500000000000001,0.1,1.2143343679153573
0.7500000000000001,0.1,1.0198892773859782
0.8500000000000001,0.1,0.8308089836988202
0.9500000000000001,0.1,0.6486176922032368
1.05,0.1,0.4762181354788937
1.1500000000000001,0.1,0.318094868545968
